eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,0.0496064,
1.63107,20.1655,151.596,151.596,20.1655,2.45592,-0.564517,-0.564517,2.45592,150.116,252.332,1.71079,1.8914,171.052,119.374,1.63107,-1.31305,53.3435,655.501,
2.00927,34.4938,177.026,177.026,34.4938,1.41908,-0.378875,-0.378875,1.41908,163.036,209.342,4.20376,1.0402,285.68,57.464,2.00927,-0.229502,259.622,416.828,
0.832149,237.107,234.258,237.107,234.258,-0.519844,0.787597,-0.519844,0.787597,64.8838,572.051,3.41751,-0.267753,179.618,44.5163,0.832149,-1.26049,146.55,280.521,
0.638822,92.9701,122.197,122.197,92.9701,-2.22725,0.661708,0.661708,-2.22725,94.4589,468.495,4.01149,1.56554,274.704,104.221,0.638822,-1.83946,201.217,624.195,
1.49959,21.1134,29.5289,29.5289,21.1134,1.53085,-2.23204,-2.23204,1.53085,48.9534,160.592,0.525452,-0.701186,95.4852,58.5162,1.49959,-1.38795,53.9236,332.167,
-0.664587,27.9314,98.4732,98.4732,27.9314,-2.19117,2.34563,2.34563,-2.19117,72.4089,511.992,2.8288,-0.154455,221.607,176.923,-0.664587,2.15684,92.2746,856.193,
1.70283,220.385,136.067,220.385,136.067,-1.24641,1.85929,-1.24641,1.85929,124.896,849.876,3.68015,-0.612885,237.146,220.518,1.70283,-0.50824,211.763,736.942,
1.30618,321.813,67.9548,321.813,67.9548,0.509128,1.98714,0.509128,1.98714,256.87,378.238,3.40763,-1.47801,239.546,123.769,1.30618,1.08245,120.589,345.045,
-1.18382,205.283,180.84,205.283,180.84,1.14223,-0.999086,1.14223,-0.999086,97.9523,620.93,3.639,0.14314,302.764,178.047,-1.18382,0.630339,125.999,668.694,
-0.796203,310.577,106.132,310.577,106.132,-0.48449,-0.775061,-0.48449,-0.775061,224.432,355.076,2.62595,-0.290571,551.66,119.656,-0.796203,-0.489659,449.82,504.733,
-0.700412,275.961,165.716,275.961,165.716,0.871619,-0.280831,0.871619,-0.280831,110.285,500.68,3.12765,0.590788,192.396,57.3134,-0.700412,0.769367,143.787,265.024,
1.77878,43.5657,99.0335,99.0335,43.5657,0.932716,-1.55192,-1.55192,0.932716,58.6792,245.727,3.43412,-0.619203,186.346,88.8425,1.77878,-1.95194,130.906,846.458,
0.652555,150.684,180.007,180.007,150.684,0.104844,-1.63053,-1.63053,0.104844,48.3885,459.752,2.90734,-1.52568,306.553,114.15,0.652555,-0.922414,198.22,494.067,
-1.24879,200.047,28.4089,200.047,28.4089,1.11816,-1.70257,1.11816,-1.70257,185.538,319.617,2.16906,-0.584411,279.111,248.637,-1.24879,1.21763,53.9239,979.955,
-2.42575,116.563,197.399,197.399,116.563,-2.28349,-0.0332693,-0.0332693,-2.28349,90.4808,514.925,3.41038,2.25023,235.845,79.1451,-2.42575,-0.984691,161.71,345.436,
-0.52755,158.582,157.213,158.582,157.213,-0.880479,0.671825,-0.880479,0.671825,65.0147,410.671,3.55622,0.208654,640.506,511.806,-0.52755,0.257416,148.645,1232.23,
-1.46733,109.77,81.8957,109.77,81.8957,-0.293293,-0.671433,-0.293293,-0.671433,181.984,70.1312,5.63768,-0.37814,646.211,70.2228,-1.46733,-2.15851,578.602,448.569,
-2.09247,182.519,134.646,182.519,134.646,1.52931,-2.46774,1.52931,-2.46774,206.957,1160.55,1.74691,-0.938431,371.713,118.02,-2.09247,1.16409,253.866,1108.34,
0.828408,92.0968,89.0171,92.0968,89.0171,1.68923,-2.20547,1.68923,-2.20547,88.6103,641.554,2.11964,-0.516235,166.249,91.3585,0.828408,-1.90023,131.497,502.338,
-1.04463,260.627,341.577,341.577,260.627,-1.42559,0.628306,0.628306,-1.42559,85.6452,939.634,3.04782,0.797281,215.547,101.039,-1.04463,0.181203,150.13,338.9,
2.33001,59.081,77.703,77.703,59.081,1.5886,-2.04369,-2.04369,1.5886,20.621,427.494,3.01078,-0.455091,169.125,51.4428,2.33001,-1.65445,134.894,693.616,
-1.7789,26.1064,470.371,470.371,26.1064,-1.99828,-2.05712,-2.05712,-1.99828,450.096,209.633,3.80542,-0.0588378,337.415,227.256,-1.7789,-2.35722,110.159,577.217,
1.42899,126.403,186.38,186.38,126.403,2.21302,1.35398,1.35398,2.21302,107.389,323.7,2.55276,0.859041,323.948,77.3226,1.42899,1.83083,277.297,297.228,
1.45016,63.128,35.0468,63.128,35.0468,-0.774141,2.38654,-0.774141,2.38654,44.839,235.543,3.90304,-1.6124,405.022,354.008,1.45016,-0.302607,58.3558,1066.91,
-0.939991,211.934,148.334,211.934,148.334,0.769747,-1.75464,0.769747,-1.75464,215.924,644.397,1.89948,-0.98489,395.005,46.0501,-0.939991,0.156393,349.124,311.645,
-0.0393633,277.51,42.7184,277.51,42.7184,2.12191,0.137428,2.12191,0.137428,245.22,326.467,3.80341,1.98448,223.211,50.8526,-0.0393633,2.0151,208.101,314.987,
